id,name,title_id,prize_size,assort,title,series_id,release_month,Arrival_date,get_date,got_status,is_favorite,image_url,image_url1,image_url2,image_url3,image_url4,memo,created_at,updated_at
,?????????? ESPRESTO-Elegant hues-????,1,?21cm,?1?,??????????,2,2026-07,2026-07-23,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783481893/gakuen_idolmaster_espresto_elegant_hues_arimura_mao_tytenc.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783481893/gakuen_idolmaster_espresto_elegant_hues_arimura_mao2_o0x0g6.jpg,,,,??????????????????????????(???)?????????? ! ????????????????????????!,,
,?????????? ESPRESTO-Sheer frills-????,1,?16cm,?1?,??????????,2,2026-07,2026-07-29,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783481894/gakuen_idolmaster_espresto_sheer_frills_himesaki_rinami_nd2sgh.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783481893/gakuen_idolmaster_espresto_sheer_frills_himesaki_rinami2_h7ih4w.jpg,,,,??????????????????????????(???)?????????? ! ????????????????????????!,,
,????? KING OF ARTIST YAMATO-SPECIAL ver.-,2,?23cm,?1?,?????,3,2026-07,2026-07-07,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783483078/one_piece_KING_OF_ARTIST_YAMATO_SPECIAL_ver_eszqvr.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783483078/one_piece_KING_OF_ARTIST_YAMATO_SPECIAL_ver2_tpbhyx.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783483079/one_piece_KING_OF_ARTIST_YAMATO_SPECIAL_ver3_zckjtc.jpg,,,"KING OF ARTIST????????????????????????!

?2023?12?????????? KING OF ARTIST THE YAMATO??????????????????",,
,????? KING OF ARTIST KOUZUKI ODEN-SPECIAL ver.-,2,?17cm,?1?,?????,3,2026-07,2026-07-07,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783483078/one_piece_KING_OF_ARTIST_KOUZUKI_ODEN_SPECIAL_ver_ojkdmb.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783483078/one_piece_KING_OF_ARTIST_KOUZUKI_ODEN_SPECIAL_ver2_e2tbwd.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783483078/one_piece_KING_OF_ARTIST_KOUZUKI_ODEN_SPECIAL_ver3_jhjrfo.jpg,,,"?KING OF ARTIST??????????????????????????!

?2024?11?????????? KING OF ARTIST THE GOL.D.ROGER&KOUZUKI ODEN-SPECIAL ver.-?????B??????????
???????????????????????????????????",,
,HUNTER×HUNTER Grandista-??-,53,?26cm,?1?,????????,4,2026-07,2026-07-16,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492804/hunter_x_hunter_Grandista_Gon_hkv6az.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492803/hunter_x_hunter_Grandista_Gon2_vrx8iu.jpg,,,,"TV????HUNTER×HUNTER???????Grandista????????!
???????????????????????????????????????????????????????????????????????????????
HUNTER×HUNTER??????????????????",,
,???????? Grandista-SON GOKU-?,9,?25cm,?1?,???????,4,2026-07,2026-07-22,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492799/dragon_ball_super_Grandista_SON_GOKU_III_xobixu.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492803/dragon_ball_super_Grandista_SON_GOKU_III2_tz3i9t.jpg,,,,"Grandista?????????????? ????????????
?????????????????????????????????
????????????????????????????????????????",,
,??????????? Grandista-TODOROKI SHOTO-,10,?21cm,?1?,??????????? ,4,2026-07,2026-07-23,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492797/my_hero_academia_Grandista_TODOROKI_SHOTO_w2zpil.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492796/my_hero_academia_Grandista_TODOROKI_SHOTO2_mcqdbl.jpg,,,,Grandista????????!,,
,???? Grandista-ZEN’IN MAKI-,4,?26cm,?1?,????,4,2026-07,2026-07-29,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780081520/jujutsu_kaisen_Grandista_ZENIN_MAKI__yk9gpj.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492794/jujutsu_kaisen_Grandista_ZENIN_MAKI2_azf3uq.jpg,,,,"??????????????????????????????????Grandista?????????????????!
??????????????????????????",,
,???? Grandista-OKKOTSU YUTA-,4,?27cm,?1?,????,4,2026-09,,0,,,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492804/jujutsu_kaisen_Grandista_OKKOTSU_YUTA_tpeult.jpg,,,,,Grandista????????!,,
,BLEACH Grandista-AIZEN SOUSUKE-,61,?28cm,?1?,BLEACH,4,2026-09,,0,,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492798/bleach_Grandista_AIZEN_SOUSUKE_hwsfzk.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492798/bleach_Grandista_AIZEN_SOUSUKE2_uxlzrk.jpg,https://res.cloudinary.com/dq60t7nqg/image/upload/v1783492799/bleach_Grandista_AIZEN_SOUSUKE3_mcaonj.jpg,,,??????????????????????????????????Grandista?????????????!,,
