id,name,title_id,prize_size,assort,title,series_id,release_month,Arrival_date,get_date,got_status,is_favorite,image_url,image_url1,image_url2,image_url3,image_url4,memo,created_at,updated_at,gravity_pred,gravity_actual
,葬送のフリーレンLuminasta“フリーレン”～葬送のフリーレン～,12,全長約8×19cm,全1種,葬送のフリーレン,28,2026-06,2026-06-12,NULL,un,0,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210586/sousou_no_frieren_Luminasta_frieren_sousou_no_frieren__o33n61.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210586/sousou_no_frieren_Luminasta_frieren_sousou_no_frieren_2_w6l3v6.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210587/sousou_no_frieren_Luminasta_frieren_sousou_no_frieren_3_crrlwx.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210586/sousou_no_frieren_Luminasta_frieren_sousou_no_frieren_4_ggupuv.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210586/sousou_no_frieren_Luminasta_frieren_sousou_no_frieren_5_vfka2e.webp,TVアニメ『葬送のフリーレン』より「フリーレン」が“Luminasta（ルミナスタ）”で再登場です！杖とエフェクトで再現された戦闘シーンのイメージです！,,,NULL,NULL
,やはり俺の青春ラブコメはまちがっている。完XStellar“由比ヶ浜結衣”～放課後通り雨～,50,全長約9×21cm,全1種,やはり俺の青春ラブコメはまちがっている。完,25,2026-06,2026-06-19,NULL,un,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210609/yahari_ore_no_seishun_lovecome_wa_machigatteiru_kan_XStellar_yuigahama_yui_houkago_tooriame__szrxdp.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210609/yahari_ore_no_seishun_lovecome_wa_machigatteiru_kan_XStellar_yuigahama_yui_houkago_tooriame_2_o3ya6b.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210610/yahari_ore_no_seishun_lovecome_wa_machigatteiru_kan_XStellar_yuigahama_yui_houkago_tooriame_3_etqn1m.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210610/yahari_ore_no_seishun_lovecome_wa_machigatteiru_kan_XStellar_yuigahama_yui_houkago_tooriame_4_hvqpi4.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210610/yahari_ore_no_seishun_lovecome_wa_machigatteiru_kan_XStellar_yuigahama_yui_houkago_tooriame_5_dld6r1.webp,“XStellar（エクステラ）”に「由比ヶ浜結衣」が登場！雨に濡れたYシャツを表現した制服姿で、5月登場の「雪ノ下雪乃」と「一色いろは」と並べて飾れます！,,,NULL,NULL
,「青春ブタ野郎」シリーズYumemirize‐桜島麻衣‐バニー,50,全長約12×15.5cm,全1種,やはり俺の青春ラブコメはまちがっている。完,26,2026-06,2026-06-12,NULL,un,1,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210659/seishun_buta_yarou_series_Yumemirize_sakurajima_mai_bunny__wojw2a.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210660/seishun_buta_yarou_series_Yumemirize_sakurajima_mai_bunny_2_w5ibyq.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210661/seishun_buta_yarou_series_Yumemirize_sakurajima_mai_bunny_4_bh8vlh.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210660/seishun_buta_yarou_series_Yumemirize_sakurajima_mai_bunny_5_vahzun.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780210661/seishun_buta_yarou_series_Yumemirize_sakurajima_mai_bunny_6_n8ofqp.webp,「桜島麻衣」が“Yumemirize（ユメミライズ）”で登場！作中のバニーガール姿をモチーフにしたフィギュアです。,,,NULL,NULL
,呪術廻戦懐玉・玉折Luminasta‐五条悟‐虚式「茈」,4,全長約14×20cm,全1種,呪術廻戦,28,2026-06,2026-06-12,NULL,un,0,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282965/jujutsu_kaisen_kaigyoku_gyokusetsu_Luminasta_gojo_satoru_kyoshiki_murasaki__kogwoy.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282965/jujutsu_kaisen_kaigyoku_gyokusetsu_Luminasta_gojo_satoru_kyoshiki_murasaki_2_ey6tu8.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282966/jujutsu_kaisen_kaigyoku_gyokusetsu_Luminasta_gojo_satoru_kyoshiki_murasaki_3_ei13kd.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282967/jujutsu_kaisen_kaigyoku_gyokusetsu_Luminasta_gojo_satoru_kyoshiki_murasaki_4_zknnyn.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282967/jujutsu_kaisen_kaigyoku_gyokusetsu_Luminasta_gojo_satoru_kyoshiki_murasaki_5_tzzsb5.webp,TVアニメ『呪術廻戦』第2期「懐玉・玉折」より、「虚式『茈』」を放つ「五条悟」が再登場！術式の破壊力をエフェクト造形で表現し、エフェクト台座やなびく衣装で、浮遊感と臨場感を再現しました。,,,NULL,NULL
,けいおん！Yumemirize‐平沢唯‐,72,全長約12×12cm,全1種,けいおん！,26,2026-06,2026-06-26,NULL,un,0,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244759/keion_Yumemirize_hirasawa_yui__sfwibd.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244760/keion_Yumemirize_hirasawa_yui_3_gnvfy3.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244760/keion_Yumemirize_hirasawa_yui_4_qji6jb.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244761/keion_Yumemirize_hirasawa_yui_6_ts10hx.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244761/keion_Yumemirize_hirasawa_yui_5_ct8nez.webp,『けいおん！』より「平沢唯」が、可愛らしい白ワンピース衣装で“Yumemirize（ユメミライズ）”に登場です。同月登場の「中野梓」と、7月登場予定の「秋山澪」、「田井中律」、「琴吹紬」を集めれば、「放課後ティータイム」を全員揃えて飾ることができます！,,,NULL,NULL
,けいおん！Yumemirize‐中野梓‐,72,全長約13×12cm,全1種,けいおん！,26,2026-06,2026-06-26,NULL,un,0,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244758/keion_Yumemirize_nakano_azusa__r85yaj.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244758/keion_Yumemirize_nakano_azusa_3_jvqcre.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244758/keion_Yumemirize_nakano_azusa_2_sprdum.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244758/keion_Yumemirize_nakano_azusa__r85yaj.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780244758/keion_Yumemirize_nakano_azusa_4_ltoqha.webp,『けいおん！』より「中野梓」が、可愛らしい白ワンピース衣装で“Yumemirize（ユメミライズ）”に登場です。同月登場の「平沢唯」と、7月登場予定の「秋山澪」、「田井中律」、「琴吹紬」を集めれば、「放課後ティータイム」を全員揃えて飾ることができます！,,,NULL,NULL
,葬送のフリーレンYumemirize“フリーレン”～ルームウェア～,12,全長約15×8cm,全1種,葬送のフリーレン,26,2026-06,2026-06-26,NULL,un,0,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283110/sousou_no_frieren_Yumemirize_frieren_roomwear__zyhscb.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283114/sousou_no_frieren_Yumemirize_frieren_roomwear_2_q9uxq9.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283112/sousou_no_frieren_Yumemirize_frieren_roomwear_3_qpkfig.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283110/sousou_no_frieren_Yumemirize_frieren_roomwear_4_a7dzzx.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283111/sousou_no_frieren_Yumemirize_frieren_roomwear_6_o43ss1.webp,TVアニメ『葬送のフリーレン』より「フリーレン」が、ルームウェアを身に纏って“Yumemirize（ユメミライズ）”に登場！うつ伏せになってくつろぐ姿も必見です！,,,NULL,NULL
,葬送のフリーレンYumemirize“ユーベル”～ルームウェア～,12,全長約10×11cm,全1種,葬送のフリーレン,26,2026-06,2026-06-26,NULL,un,0,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283105/sousou_no_frieren_Yumemirize_uebel_roomwear_ver__njvhlq.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283106/sousou_no_frieren_Yumemirize_uebel_roomwear_ver_2_a4vn5o.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283106/sousou_no_frieren_Yumemirize_uebel_roomwear_ver_3_mwsshs.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283108/sousou_no_frieren_Yumemirize_uebel_roomwear_ver_4_wtz1vg.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780283110/sousou_no_frieren_Yumemirize_uebel_roomwear_ver_6_qqyfte.webp,TVアニメ『葬送のフリーレン』より「ユーベル」が、ルームウェアを身に纏って“Yumemirize（ユメミライズ）”に登場！普段は見せないリラックスしたその表情にもご注目ください！,,,NULL,NULL
,初音ミク×シナモロールちょこのせプレミアムフィギュア‐初音ミク×シナモロール‐もふっとVer.,16,全長約8×10cm,全1種,初音ミク,43,2026-06,2026-06-26,NULL,un,0,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282848/hatsune_miku_x_cinnamoroll_chokonose_premium_figure_hatsune_miku_x_cinnamoroll_mofutto_ver__psug4h.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282849/hatsune_miku_x_cinnamoroll_chokonose_premium_figure_hatsune_miku_x_cinnamoroll_mofutto_ver_2_daibh8.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282849/hatsune_miku_x_cinnamoroll_chokonose_premium_figure_hatsune_miku_x_cinnamoroll_mofutto_ver_3_jvqawk.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282849/hatsune_miku_x_cinnamoroll_chokonose_premium_figure_hatsune_miku_x_cinnamoroll_mofutto_ver_4_zxmdhh.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282850/hatsune_miku_x_cinnamoroll_chokonose_premium_figure_hatsune_miku_x_cinnamoroll_mofutto_ver_5_s3g7uf.webp,髪を持ち上げている姿が可愛い♪『初音ミク×シナモロール』の“ちょこのせ”フィギュアが登場です！ このアイテムの取り方・コツを特別公開！,,,NULL,NULL
,彼女、お借りしますYumemirize“水原千鶴”,73,全長約8×11.5cm,全1種,彼女、お借りします,26,2026-06,2026-06-26,NULL,un,0,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282455/kanojo_okarishimasu_Yumemirize_mizuhara_chizuru__ovsmwy.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282455/kanojo_okarishimasu_Yumemirize_mizuhara_chizuru_2_f8yd50.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282455/kanojo_okarishimasu_Yumemirize_mizuhara_chizuru_3_p8qojr.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282454/kanojo_okarishimasu_Yumemirize_mizuhara_chizuru_5_r7px3o.webp,https://res.cloudinary.com/dq60t7nqg/image/upload/v1780282455/kanojo_okarishimasu_Yumemirize_mizuhara_chizuru_6_ryowxk.webp,『彼女、お借りします』から、猫耳姿の「水原千鶴」が、水着衣装で登場です！,,,NULL,NULL
