"id","name","title_id","prize_size","assort","title","series_id","release_month","Arrival_date","get_date","got_status","is_favorite","image_url","image_url1","image_url2","image_url3","image_url4","memo","created_at","updated_at","gravity_pred","gravity_actual"
"1","学園アイドルマスター ESPRESTO-Heart bouquet-藤田ことね","1","約21cm","全1種","学園アイドルマスター","2","2026-06","2026-06-01",NULL,"un","0","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358877/Gakuen_Idolmaster_ESPRESTO-Heart_bouquet-Fujita_Kotone_aaga6p.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358878/Gakuen_Idolmaster_ESPRESTO-Heart_bouquet-Fujita_Kotone2_gugi0t.jpg",NULL,NULL,NULL,"サイズ：約21cm","2026-04-21 21:57:20","2026-05-11 09:58:39",NULL,NULL
"2","学園アイドルマスター ESPRESTO-Accent green-紫雲清夏","1","約22cm","全1種","学園アイドルマスター","2","2026-05","2026-05-14",NULL,"un","0","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358874/Gakuen_Idolmaster_ESPRESTO-Accent_green-Shiun_Kiyoka_rylkhj.jpg",NULL,NULL,NULL,NULL,"サイズ：約22cm","2026-04-21 21:57:20","2026-05-11 09:59:17",NULL,NULL
"3","学園アイドルマスター ESPRESTO-Majestic pose-花海咲季","1","約21cm","全1種","学園アイドルマスター","2","2026-04","2026-04-28",NULL,"un","0","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358632/Gakuen_Idolmaster_ESPRESTO-Majestic_pose-Hanami_Saki_qixa8c.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358633/Gakuen_Idolmaster_ESPRESTO-Majestic_pose-Hanami_Saki2_oxn80x.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358634/Gakuen_Idolmaster_ESPRESTO-Majestic_pose-Hanami_Saki3_fi6ed1.jpg",NULL,NULL,"サイズ：約21cm","2026-04-21 21:57:20","2026-05-11 09:59:05",NULL,NULL
"4","学園アイドルマスター ESPRESTO-Inflatable-花海佑芽","1","約24cm","全1種","学園アイドルマスター","2","2026-04","2026-04-28",NULL,"un","0","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358872/Gakuen_Idolmaster_ESPRESTO-Inflatable-Hanami_Yume_qfz7df.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358873/Gakuen_Idolmaster_ESPRESTO-Inflatable-Hanami_Yume2_f136vn.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358876/Gakuen_Idolmaster_ESPRESTO-Inflatable-Hanami_Yume3_kecpf9.jpg",NULL,NULL,"サイズ：約24cm","2026-04-21 21:57:20","2026-05-11 09:59:05",NULL,NULL
"5","学園アイドルマスター ESPRESTO-Sweet moment-篠澤 広","1","約21cm","全1種","学園アイドルマスター","2","2026-03","2026-03-18","2026-03-18","got","0","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358433/Gakuen_Idolmaster_ESPRESTO-Sweet_moment-Shinozawa_Hiro_ystpkl.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358434/Gakuen_Idolmaster_ESPRESTO-Sweet_moment-Shinozawa_Hiro2_hallnx.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776358435/Gakuen_Idolmaster_ESPRESTO-Sweet_moment-Shinozawa_Hiro3_myd9hy.jpg",NULL,NULL,"サイズ：約21cm","2026-04-21 21:57:20","2026-05-11 09:57:00",NULL,NULL
"6","ワンピース KING OF ARTIST EDWARD.NEWGATE","2","約33cm","全1種","ワンピース","3","2026-05","2026-05-26",NULL,"un","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777176601/One_Piece_KING_OF_ARTIST_EDWARD_NEWGATE_wmfo6q.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777176602/One_Piece_KING_OF_ARTIST_EDWARD_NEWGATE2_hnfksq.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777176601/One_Piece_KING_OF_ARTIST_EDWARD_NEWGATE3_w3narx.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1777176617/One_Piece_KING_OF_ARTIST_EDWARD_NEWGATE4_jypuvr.jpg",NULL,"サイズ：約33cm","2026-04-21 21:57:20","2026-05-11 09:57:56",NULL,NULL
"7","ワンピース KING OF ARTIST MONKEY.D.LUFFY-SPECIAL ver.Ⅱ-（バウンドマン）","2","約17cm","A:バウンドマン","ワンピース","3","2026-04","2026-04-09","2026-04-09","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776389593/One_Piece_KING_OF_ARTIST_MONKEY_D_LUFFY_Baundoman-SPECIAL_ver_II_hjpopr.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776389593/One_Piece_KING_OF_ARTIST_MONKEY_D_LUFFY_Baundoman-SPECIAL_ver_II2_fie4dd.jpg",NULL,NULL,NULL,"サイズ：約17cm","2026-04-21 21:57:20","2026-05-11 09:57:35",NULL,NULL
"8","ワンピース KING OF ARTIST MONKEY.D.LUFFY-SPECIAL ver.Ⅱ-（スネイクマン）","2","約19cm","B:スネイクマン","ワンピース","3","2026-04","2026-04-09","2026-04-09","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776389594/One_Piece_KING_OF_ARTIST_MONKEY_D_LUFFY_Suneikuman-SPECIAL_ver_II_yea2hz.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776389593/One_Piece_KING_OF_ARTIST_MONKEY_D_LUFFY_Suneikuman-SPECIAL_ver_II2_nqismg.jpg",NULL,NULL,NULL,"サイズ：約19cm","2026-04-21 21:57:20","2026-05-11 09:57:36",NULL,NULL
"9","ワンピース KING OF ARTIST RORONOA ZORO-SPECIAL ver.-","2","約18cm","A:ロロノア・ゾロ","ワンピース","3","2026-03","2026-03-17","2026-03-17","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776389593/One_Piece_KING_OF_ARTIST_RORONOA_ZORO-SPECIAL_ver_fmfnxc.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776389592/One_Piece_KING_OF_ARTIST_RORONOA_ZORO-SPECIAL_ver2_ks00td.jpg",NULL,NULL,NULL,"サイズ：約18cm","2026-04-21 21:57:20","2026-05-11 09:57:07",NULL,NULL
"10","ワンピース KING OF ARTIST SANJI-SPECIAL ver.-","2","約21cm","B:サンジ","ワンピース","3","2026-03","2026-03-17","2026-03-17","got","1","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776389594/One_Piece_KING_OF_ARTIST_SANJI-SPECIAL_ver_lfpnvd.jpg","https://res.cloudinary.com/dq60t7nqg/image/upload/v1776389593/One_Piece_KING_OF_ARTIST_SANJI-SPECIAL_ver2_rr2rsz.jpg",NULL,NULL,NULL,"サイズ：約21cm","2026-04-21 21:57:20","2026-05-11 09:57:10",NULL,NULL
